question,answer,type
Is it permissible for students to engage in gaming while in the labs?,No; disciplinary action will follow.,paraphrased
Do students have the freedom to play games inside the labs?,No; disciplinary action will follow.,paraphrased
Is gaming permitted for students within the lab environment?,No; disciplinary action will follow.,paraphrased
Are students permitted to play video games when they are in the labs?,No; disciplinary action will follow.,paraphrased
Can you eat food in the computer labs?,No.,paraphrased
Are you permitted to bring food into the computer labs?,No.,paraphrased
Is it acceptable to have food in the computer labs?,No.,paraphrased
Do the computer labs allow food to be consumed?,No.,paraphrased
Is it okay to have snacks in the computer labs?,No.,paraphrased
Where can I find the folder for daily data backups?,The z:\ folder on the server.,paraphrased
What is the path to the folder that contains daily data backups?,The z:\ folder on the server.,paraphrased
Which folder is designated for daily data backups?,The z:\ folder on the server.,paraphrased
Could you specify the daily data-backup folder's location?,The z:\ folder on the server.,paraphrased
What is what is the daily data-backup folder??,The z:\ folder on the server.,paraphrased
At what time does the z:\ folder get cleared out?,End of every semester.,paraphrased
When does the cleaning of the z:\ folder take place?,End of every semester.,paraphrased
What is the schedule for clearing the z:\ folder?,End of every semester.,paraphrased
During which period is the z:\ folder emptied?,End of every semester.,paraphrased
When does the z:\ folder undergo its cleanup?,End of every semester.,paraphrased
Are personal laptops required to be registered?,"Yes, with ICT Department.",paraphrased
Do personal laptops need to undergo registration?,"Yes, with ICT Department.",paraphrased
Is it necessary to register personal laptops?,"Yes, with ICT Department.",paraphrased
Should personal laptops be listed with the ICT Department?,"Yes, with ICT Department.",paraphrased
Is registration mandatory for personal laptops?,"Yes, with ICT Department.",paraphrased
Are personal laptops allowed to be connected in teaching labs?,No; only in the General Lab designated area.,paraphrased
Is it permissible to plug personal laptops into the teaching labs?,No; only in the General Lab designated area.,paraphrased
Can you connect personal laptops in the teaching labs?,No; only in the General Lab designated area.,paraphrased
Are personal laptops permitted to be used in teaching labs?,No; only in the General Lab designated area.,paraphrased
Is it okay to plug personal laptops into the teaching labs?,No; only in the General Lab designated area.,paraphrased
Who is the leader of Academic Affairs?,"Deputy Vice-Chancellor, Academic Affairs (DVCAA).",paraphrased
Which individual oversees Academic Affairs?,"Deputy Vice-Chancellor, Academic Affairs (DVCAA).",paraphrased
Who is in charge of Academic Affairs?,"Deputy Vice-Chancellor, Academic Affairs (DVCAA).",paraphrased
Who holds the position of head for Academic Affairs?,"Deputy Vice-Chancellor, Academic Affairs (DVCAA).",paraphrased
What is who heads academic affairs??,"Deputy Vice-Chancellor, Academic Affairs (DVCAA).",paraphrased
Which extensions connect to the DVCAA?,406 / 407.,paraphrased
What are the extensions that access the DVCAA?,406 / 407.,paraphrased
Which extensions are associated with the DVCAA?,406 / 407.,paraphrased
What are the extension numbers that reach the DVCAA?,406 / 407.,paraphrased
What is what extensions reach the dvcaa??,406 / 407.,paraphrased
How many full-time units do undergraduates need to complete?,12 units (4 courses).,paraphrased
What is the unit requirement for full-time undergraduate students?,12 units (4 courses).,paraphrased
What is the total number of units for full-time undergraduate enrollment?,12 units (4 courses).,paraphrased
How many units constitute full-time status for undergraduate programs?,12 units (4 courses).,paraphrased
What is what are the undergraduate full-time units??,12 units (4 courses).,paraphrased
How many units are required at a minimum to be considered a full-time undergraduate?,9 units.,paraphrased
What is the least number of units needed to maintain full-time status as an undergraduate?,9 units.,paraphrased
What's the smallest unit load necessary for undergraduates to achieve full-time enrollment?,9 units.,paraphrased
What is the fewest units an undergraduate must take to qualify as a full-time student?,9 units.,paraphrased
What is what is the minimum load for undergrad full-time status??,9 units.,paraphrased
How many units are considered full-time for graduate students?,9 units.,paraphrased
What is the full-time unit requirement for graduate studies?,9 units.,paraphrased
What constitutes full-time enrollment in terms of units for graduate programs?,9 units.,paraphrased
How many units do graduate students need to be classified as full-time?,9 units.,paraphrased
What is what are graduate full-time units??,9 units.,paraphrased
What is the least number of units required for graduate courses?,6 units.,paraphrased
How many units constitute the minimum load for graduate studies?,6 units.,paraphrased
What is the smallest graduate unit load that one must take?,6 units.,paraphrased
What is the required minimum unit load for graduate students?,6 units.,paraphrased
What is what is the minimum graduate load??,6 units.,paraphrased
How is a Freshman characterized?,Fewer than 29 semester units.,paraphrased
What criteria determine someone as a Freshman?,Fewer than 29 semester units.,paraphrased
What are the key features of being a Freshman?,Fewer than 29 semester units.,paraphrased
How do you identify a Freshman?,Fewer than 29 semester units.,paraphrased
What qualifications classify a student as a Freshman?,Fewer than 29 semester units.,paraphrased
How many semester units must a student have to be considered a Sophomore?,30 -59 semester units.,paraphrased
What is the semester unit range that characterizes a Sophomore?,30 -59 semester units.,paraphrased
What is the criteria in terms of semester units for someone to be labeled a Sophomore?,30 -59 semester units.,paraphrased
At what semester unit count does a student qualify as a Sophomore?,30 -59 semester units.,paraphrased
What is what defines a sophomore??,30 -59 semester units.,paraphrased
What is the criteria for being considered a Junior?,60 -89 semester units.,paraphrased
How many semester units do you need to be classified as a Junior?,60 -89 semester units.,paraphrased
What is the unit requirement that characterizes a Junior?,60 -89 semester units.,paraphrased
What number of semester units distinguishes a Junior from other classifications?,60 -89 semester units.,paraphrased
What is what defines a junior??,60 -89 semester units.,paraphrased
What criteria determine someone to be considered a Senior?,90+ semester units.,paraphrased
How can you identify a student as a Senior?,90+ semester units.,paraphrased
What is the requirement for classifying an individual as a Senior?,90+ semester units.,paraphrased
What does it take to be classified as a Senior?,90+ semester units.,paraphrased
What are the benchmarks for defining a Senior?,90+ semester units.,paraphrased
What is the minimum GPA required for an undergraduate?,Minimum 2.0.,paraphrased
How high does an undergraduate's GPA need to be?,Minimum 2.0.,paraphrased
What GPA does an undergraduate have to keep up?,Minimum 2.0.,paraphrased
What is the required GPA for undergraduates?,Minimum 2.0.,paraphrased
At what GPA level must an undergraduate stay?,Minimum 2.0.,paraphrased
What is the minimum GPA a graduate needs to keep?,Minimum 3.0.,paraphrased
How high does a graduate's GPA have to be?,Minimum 3.0.,paraphrased
What GPA should a graduate strive to uphold?,Minimum 3.0.,paraphrased
What is the required GPA for graduation?,Minimum 3.0.,paraphrased
"To graduate, what GPA does one need to maintain?",Minimum 3.0.,paraphrased
What is the number of absences that result in an automatic F?,Five absences in a 3-unit course.,paraphrased
At what point do absences lead to receiving an automatic F?,Five absences in a 3-unit course.,paraphrased
How many times can a student be absent before getting an automatic F?,Five absences in a 3-unit course.,paraphrased
What is the threshold for absences that causes an automatic F to be assigned?,Five absences in a 3-unit course.,paraphrased
How many times can someone miss class to avoid an automatic F?,Five absences in a 3-unit course.,paraphrased
